url, title, output_filename, output_subfolder
https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_Chapter09.pdf, IPCC AR6 Working Group I Chapter 9, IPCC_AR6_WGI_Chapter09.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_Chapter10.pdf, IPCC AR6 Working Group I Chapter 10, IPCC_AR6_WGI_Chapter10.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_Chapter11.pdf, IPCC AR6 Working Group I Chapter 11, IPCC_AR6_WGI_Chapter11.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_Chapter12.pdf, IPCC AR6 Working Group I Chapter 12, IPCC_AR6_WGI_Chapter12.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_SummaryForPolicymakers.pdf, IPCC AR6 Working Group II Summary for Policymakers, IPCC_AR6_WGII_SPM.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_TechnicalSummary.pdf, IPCC AR6 Working Group II Technical Summary, IPCC_AR6_WGII_TS.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter01.pdf, IPCC AR6 Working Group II Chapter 1, IPCC_AR6_WGII_Chapter01.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter02.pdf, IPCC AR6 Working Group II Chapter 2, IPCC_AR6_WGII_Chapter02.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter03.pdf, IPCC AR6 Working Group II Chapter 3, IPCC_AR6_WGII_Chapter03.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter04.pdf, IPCC AR6 Working Group II Chapter 4, IPCC_AR6_WGII_Chapter04.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter05.pdf, IPCC AR6 Working Group II Chapter 5, IPCC_AR6_WGII_Chapter05.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter06.pdf, IPCC AR6 Working Group II Chapter 6, IPCC_AR6_WGII_Chapter06.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter07.pdf, IPCC AR6 Working Group II Chapter 7, IPCC_AR6_WGII_Chapter07.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter08.pdf, IPCC AR6 Working Group II Chapter 8, IPCC_AR6_WGII_Chapter08.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter09.pdf, IPCC AR6 Working Group II Chapter 9, IPCC_AR6_WGII_Chapter09.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter10.pdf, IPCC AR6 Working Group II Chapter 10, IPCC_AR6_WGII_Chapter10.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter11.pdf, IPCC AR6 Working Group II Chapter 11, IPCC_AR6_WGII_Chapter11.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter12.pdf, IPCC AR6 Working Group II Chapter 12, IPCC_AR6_WGII_Chapter12.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter13.pdf, IPCC AR6 Working Group II Chapter 13, IPCC_AR6_WGII_Chapter13.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter14.pdf, IPCC AR6 Working Group II Chapter 14, IPCC_AR6_WGII_Chapter14.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter15.pdf, IPCC AR6 Working Group II Chapter 15, IPCC_AR6_WGII_Chapter15.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter16.pdf, IPCC AR6 Working Group II Chapter 16, IPCC_AR6_WGII_Chapter16.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter17.pdf, IPCC AR6 Working Group II Chapter 17, IPCC_AR6_WGII_Chapter17.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter18.pdf, IPCC AR6 Working Group II Chapter 18, IPCC_AR6_WGII_Chapter18.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_CCP1.pdf, IPCC AR6 Working Group II Cross-Chapter Paper 1, IPCC_AR6_WGII_CCP1.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_CCP2.pdf, IPCC AR6 Working Group II Cross-Chapter Paper 2, IPCC_AR6_WGII_CCP2.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_CCP3.pdf, IPCC AR6 Working Group II Cross-Chapter Paper 3, IPCC_AR6_WGII_CCP3.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_CCP4.pdf, IPCC AR6 Working Group II Cross-Chapter Paper 4, IPCC_AR6_WGII_CCP4.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_CCP5.pdf, IPCC AR6 Working Group II Cross-Chapter Paper 5, IPCC_AR6_WGII_CCP5.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_CCP6.pdf, IPCC AR6 Working Group II Cross-Chapter Paper 6, IPCC_AR6_WGII_CCP6.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_CCP7.pdf, IPCC AR6 Working Group II Cross-Chapter Paper 7, IPCC_AR6_WGII_CCP7.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg3/downloads/report/IPCC_AR6_WGIII_SummaryForPolicymakers.pdf, IPCC AR6 Working Group III Summary for Policymakers, IPCC_AR6_WGIII_SPM.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg3/downloads/report/IPCC_AR6_WGIII_TechnicalSummary.pdf, IPCC AR6 Working Group III Technical Summary, IPCC_AR6_WGIII_TS.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg3/downloads/report/IPCC_AR6_WGIII_Chapter01.pdf, IPCC AR6 Working Group III Chapter 1, IPCC_AR6_WGIII_Chapter01.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg3/downloads/report/IPCC_AR6_WGIII_Chapter02.pdf, IPCC AR6 Working Group III Chapter 2, IPCC_AR6_WGIII_Chapter02.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg3/downloads/report/IPCC_AR6_WGIII_Chapter03.pdf, IPCC AR6 Working Group III Chapter 3, IPCC_AR6_WGIII_Chapter03.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg3/downloads/report/IPCC_AR6_WGIII_Chapter04.pdf, IPCC AR6 Working Group III Chapter 4, IPCC_AR6_WGIII_Chapter04.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg3/downloads/report/IPCC_AR6_WGIII_Chapter05.pdf, IPCC AR6 Working Group III Chapter 5, IPCC_AR6_WGIII_Chapter05.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg3/downloads/report/IPCC_AR6_WGIII_Chapter06.pdf, IPCC AR6 Working Group III Chapter 6, IPCC_AR6_WGIII_Chapter06.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg3/downloads/report/IPCC_AR6_WGIII_Chapter07.pdf, IPCC AR6 Working Group III Chapter 7, IPCC_AR6_WGIII_Chapter07.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg3/downloads/report/IPCC_AR6_WGIII_Chapter08.pdf, IPCC AR6 Working Group III Chapter 8, IPCC_AR6_WGIII_Chapter08.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg3/downloads/report/IPCC_AR6_WGIII_Chapter09.pdf, IPCC AR6 Working Group III Chapter 9, IPCC_AR6_WGIII_Chapter09.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg3/downloads/report/IPCC_AR6_WGIII_Chapter10.pdf, IPCC AR6 Working Group III Chapter 10, IPCC_AR6_WGIII_Chapter10.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg3/downloads/report/IPCC_AR6_WGIII_Chapter11.pdf, IPCC AR6 Working Group III Chapter 11, IPCC_AR6_WGIII_Chapter11.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg3/downloads/report/IPCC_AR6_WGIII_Chapter12.pdf, IPCC AR6 Working Group III Chapter 12, IPCC_AR6_WGIII_Chapter12.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg3/downloads/report/IPCC_AR6_WGIII_Chapter13.pdf, IPCC AR6 Working Group III Chapter 13, IPCC_AR6_WGIII_Chapter13.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg3/downloads/report/IPCC_AR6_WGIII_Chapter14.pdf, IPCC AR6 Working Group III Chapter 14, IPCC_AR6_WGIII_Chapter14.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg3/downloads/report/IPCC_AR6_WGIII_Chapter15.pdf, IPCC AR6 Working Group III Chapter 15, IPCC_AR6_WGIII_Chapter15.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg3/downloads/report/IPCC_AR6_WGIII_Chapter16.pdf, IPCC AR6 Working Group III Chapter 16, IPCC_AR6_WGIII_Chapter16.pdf, ipcc
https://www.ipcc.ch/report/ar6/wg3/downloads/report/IPCC_AR6_WGIII_Chapter17.pdf, IPCC AR6 Working Group III Chapter 17, IPCC_AR6_WGIII_Chapter17.pdf, ipcc
https://library.wmo.int/viewer/58116/download?file=1301_WMO_Climate_services_Energy_en.pdf&type=pdf&navigator=1, WMO State of Climate Services, WMO_Stage_Climate_Services.pdf, wmo
https://hadleyserver.metoffice.gov.uk/wmolc/WMO_GADCU_2023-2027.pdf, WMO Global Annual to Decadal Climate Update, WMO_Global_Annual_Decadal_Climate_Update.pdf, wmo
https://library.wmo.int/viewer/66314/download?file=1321_State_of_the_Climate_in_Asia_2022_en.pdf&type=pdf&navigator=1, WMO State of the Climate in Asia, WMO_State_Climate_Asia.pdf, wmo
https://library.wmo.int/viewer/66342/download?file=1324_en.pdf&type=pdf&navigator=1, WMO State of the Climate in the South-West Pacific, WMO_State_Climate_South_West_Pacific.pdf, wmo
https://library.wmo.int/viewer/58070/download?file=1300_State_of_the_Climate_in_Africa_2021_en.pdf&type=pdf&navigator=1, WMO State of the Climate in Africa, WMO_State_Climate_Africa.pdf, wmo
